Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
PRODUCT,PINK MARBLE (72X43),PCS,80,,PINK MARBLE (72X43),70,,,,,,11,,,,,
PRODUCT,SHAWAR MARBLE (72X38) ,PCS,80,,SHAWAR MARBLE (72X38) ,70,,,,,,10,,,,,
PRODUCT,GREEN MARBLE (110X30),PCS,80,,GREEN MARBLE (110X30),80,,,,,,81,,,,,
PRODUCT,LIRA COTSIZE GREEN POLISH (27X24) ,PCS,75,,LIRA COTSIZE GREEN POLISH (27X24) ,70,,,,,,10,,,,,
PRODUCT,(30X24),PCS,75,,(30X24),70,,,,,,17,,,,,
PRODUCT,(33X24),PCS,75,,(33X24),70,,,,,,28,,,,,
PRODUCT,WHITE LIRA (24X24),PCS,55,,WHITE LIRA (24X24),50,,,,,,49,,,,,
PRODUCT,(24X27),PCS,55,,(24X27),50,,,,,,355,,,,,
PRODUCT,(24X30),PCS,55,,(24X30),50,,,,,,359,,,,,
PRODUCT,(24X33) ,PCS,55,,(24X33) ,50,,,,,,329,,,,,
PRODUCT,(24X36),PCS,55,,(24X36),50,,,,,,139,,,,,
PRODUCT,(600X600)SAKAR DC CHRISTAL CHOCO ,BOX,720,,(600X600)SAKAR DC CHRISTAL CHOCO ,650,,,,,,156,,,,,
PRODUCT,TROPIC CRIMA,BOX,650,,TROPIC CRIMA,588,,,,,,425,,,,,
PRODUCT,GALAXY WHITE,BOX,650,,GALAXY WHITE,588,,,,,,156,,,,,
PRODUCT,1128 GLOSSY,BOX,650,,1128 GLOSSY,588,,,,,,104,,,,,
PRODUCT,1170 RUSTIC ,BOX,650,,1170 RUSTIC ,588,,,,,,154,,,,,
PRODUCT,PLATINA BROWN,BOX,720,,PLATINA BROWN,650,,,,,,451,,,,,
PRODUCT,TROPIC PECH,BOX,650,,TROPIC PECH,588,,,,,,161,,,,,
PRODUCT,PLATINA GREEN,BOX,720,,PLATINA GREEN,650,,,,,,101,,,,,
PRODUCT, PLATINUM SLATE,BOX,720,, PLATINUM SLATE,650,,,,,,196,,,,,
PRODUCT,PISTA,BOX,650,,PISTA,588,,,,,,104,,,,,
PRODUCT, 2029NANO ,BOX,520,, 2029NANO ,470,,,,,,94,,,,,
PRODUCT,TROPIC WHITE,BOX,650,,TROPIC WHITE,588,,,,,,58,,,,,
PRODUCT,PLATINUM ALMUND,BOX,720,,PLATINUM ALMUND,650,,,,,,143,,,,,
PRODUCT,2032,BOX,520,,2032,470,,,,,,78,,,,,
PRODUCT,2033,BOX,520,,2033,470,,,,,,100,,,,,
PRODUCT,TROPIC GOLD,BOX,650,,TROPIC GOLD,588,,,,,,481,,,,,
PRODUCT,PLAIN WHITE,BOX,650,,PLAIN WHITE,588,,,,,,171,,,,,
PRODUCT,1161 RUSTIC,BOX,650,,1161 RUSTIC,588,,,,,,177,,,,,
PRODUCT,1102 GBD,BOX,650,,1102 GBD,588,,,,,,48,,,,,
PRODUCT,GALAXY WHITE STD,BOX,620,,GALAXY WHITE STD,560,,,,,,162,,,,,
PRODUCT,(600X1200) MM FLOOR TILE  HL 22241,BOX,800,,(600X1200) MM FLOOR TILE  HL 22241,670,,,,,,93,,,,,
PRODUCT,22229 HG,BOX,800,,22229 HG,670,,,,,,99,,,,,
PRODUCT,22257 HG,BOX,850,,22257 HG,720,,,,,,97,,,,,
PRODUCT,(800X800) DC GALAXY WHITE,BOX,1050,,(800X800) DC GALAXY WHITE,950,,,,,,125,,,,,
PRODUCT,TROPIC PINK,BOX,1050,,TROPIC PINK,950,,,,,,103,,,,,
PRODUCT,(2X2) CHINA RANGOLI,PCS,1000,,(2X2) CHINA RANGOLI,850,,,,,,69,,,,,
PRODUCT,MARBLE MANDIR ,PCS,8000,,MARBLE MANDIR ,7000,,,,,,14,,,,,
PRODUCT,(24X18) STEEL SINK,PCS,1500,,(24X18) STEEL SINK,1150,,,,,,23,,,,,
PRODUCT,GOD PIC (3X2) GLASS,PCS,1500,,GOD PIC (3X2) GLASS,1000,,,,,,3,,,,,
PRODUCT,(4X2) POSTURE ,PCS,1800,,(4X2) POSTURE ,1450,,,,,,187,,,,,
PRODUCT,(18X12) GOD ,PCS,200,,(18X12) GOD ,160,,,,,,197,,,,,
PRODUCT,(15X10) GOD,PCS,120,,(15X10) GOD,80,,,,,,44,,,,,
PRODUCT,(2X2) GOD POSTURE,PCS,600,,(2X2) GOD POSTURE,500,,,,,,74,,,,,
PRODUCT,(2X2) PLAIN RANGOLI,PCS,500,,(2X2) PLAIN RANGOLI,400,,,,,,15,,,,,
PRODUCT,22 INCH ODISHA PAIN,PCS,450,,22 INCH ODISHA PAIN,350,,,,,,177,,,,,
PRODUCT,PEDESTIAL,PCS,2000,,PEDESTIAL,1600,,,,,,66,,,,,
PRODUCT,BHITRUSHA SET,PCS,2800,,BHITRUSHA SET,2200,,,,,,34,,,,,
PRODUCT,ESTRACK,PCS,1100,,ESTRACK,800,,,,,,19,,,,,
PRODUCT,P. TRAP,PCS,1100,,P. TRAP,800,,,,,,10,,,,,
PRODUCT,CRUSET,PCS,8000,,CRUSET,6200,,,,,,8,,,,,
PRODUCT,WALL BASIN,PCS,1200,,WALL BASIN,800,,,,,,16,,,,,
PRODUCT,TABLE BASIN,PCS,1800,,TABLE BASIN,1400,,,,,,14,,,,,
PRODUCT,GROUGHT AUSTRAL ALL COL,CASE,1800,,GROUGHT AUSTRAL ALL COL,1500,,,,,,50,,,,,
PRODUCT,ADHESHIP,BAG,500,,ADHESHIP,400,,,,,,50,,,,,
PRODUCT,URINAL  GENTS,PCS,900,,URINAL  GENTS,600,,,,,,20,,,,,
PRODUCT,LADIES,PCS,500,,LADIES,400,,,,,,20,,,,,
PRODUCT,MURTI,PCS,4000,,MURTI,3700,,,,,,15,,,,,
PRODUCT,MARBLE RANGOLI,PCS,3500,,MARBLE RANGOLI,3000,,,,,,13,,,,,
