Type,Item,code,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,P. TRAP,SM0019,PCS,1100,,,800,,,,,,10,,,,,
Product,CRUSET,SM0020,PCS,8000,,,6200,,,,,,8,,,,,
Product,WALL BASIN,SM0021,PCS,1200,,,800,,,,,,16,,,,,
Product,TABLE BASIN,SM0022,PCS,1800,,,1400,,,,,,14,,,,,
Product,GROUT AUSTRAL ALL COL,SM0023,CASE,1800,,,1500,,,,,,50,,,,,
Product,ADHESIVE,SM0024,BAG,500,,,400,,,,,,50,,,,,
Product,URINAL GENTS,SM0025,PCS,900,,,600,,,,,,20,,,,,
Product,URINAL LADIES,SM0026,PCS,500,,,400,,,,,,20,,,,,
Product,MURTI,SM0027,PCS,4000,,,3700,,,,,,15,,,,,
Product,MARBLE RANGOLI,SM0028,PCS,3500,,,3000,,,,,,13,,,,,
